,n_posicoes
2023-03-20,21
2023-03-27,24
2023-04-03,26
2023-04-10,26
2023-04-17,26
2023-04-24,26
2023-05-02,22
2023-05-08,22
2023-05-15,25
2023-05-22,26
2023-05-29,26
2023-06-05,26
2023-06-12,26
2023-06-19,26
2023-06-26,26
2023-07-03,26
2023-07-10,26
2023-07-17,26
2023-07-24,27
2023-07-31,28
2023-08-07,24
2023-08-14,26
2023-08-21,26
2023-08-28,26
2023-09-04,26
2023-09-11,26
2023-09-18,26
2023-09-25,26
2023-10-02,26
2023-10-09,26
2023-10-16,26
2023-10-23,26
2023-10-30,25
2023-11-06,26
2023-11-13,31
2023-11-20,34
2023-11-27,34
2023-12-04,34
2023-12-11,34
2023-12-18,34
2023-12-26,34
2024-01-02,34
2024-01-08,34
2024-01-15,34
2024-01-22,34
2024-01-29,34
2024-02-05,34
2024-02-14,34
2024-02-19,34
2024-02-26,35
2024-03-04,35
2024-03-11,35
2024-03-18,36
2024-03-25,36
